,date,mean
477,2016-04-22,479.7175
478,2016-04-21,500.2825
479,2016-04-20,494.3125
480,2016-04-19,479.375
481,2016-04-18,467.8125
482,2016-04-15,459.1875
483,2016-04-14,460.25
484,2016-04-13,458.2175
485,2016-04-12,451.2175
486,2016-04-11,452.2525
487,2016-04-08,459.5
488,2016-04-07,460.655
489,2016-04-06,467.75
490,2016-04-05,473.8125
491,2016-04-04,475.095
492,2016-04-01,472.9375
493,2016-03-31,467.345
494,2016-03-30,470.25
495,2016-03-29,474.1875
496,2016-03-28,469.625
497,2016-03-24,462.4075
498,2016-03-23,465.19000000000005
499,2016-03-22,466.9075
500,2016-03-21,467.72
501,2016-03-18,462.03499999999997
502,2016-03-17,467.62750000000005
503,2016-03-16,473.625
504,2016-03-15,476.77750000000003
505,2016-03-14,476.62749999999994
506,2016-03-11,475.69000000000005
507,2016-03-10,471.6925
508,2016-03-09,465.55999999999995
509,2016-03-08,462.3125
510,2016-03-07,464.59749999999997
511,2016-03-04,460.37750000000005
512,2016-03-03,455.0
513,2016-03-02,447.72
514,2016-03-01,449.9375
515,2016-02-29,453.75250000000005
516,2016-02-26,452.8125
517,2016-02-25,452.7175
518,2016-02-24,452.43500000000006
519,2016-02-23,460.15999999999997
520,2016-02-22,464.47249999999997
521,2016-02-19,462.095
522,2016-02-18,465.375
523,2016-02-17,466.5325
524,2016-02-16,462.50250000000005
525,2016-02-12,458.34749999999997
526,2016-02-11,460.59749999999997
527,2016-02-10,459.65999999999997
528,2016-02-09,457.97249999999997
529,2016-02-08,462.81500000000005
530,2016-02-05,470.00250000000005
531,2016-02-04,476.72249999999997
532,2016-02-03,477.5675
533,2016-02-02,476.845
534,2016-02-01,475.12750000000005
535,2016-01-29,475.47249999999997
536,2016-01-28,474.09749999999997
537,2016-01-27,480.00250000000005
538,2016-01-26,483.34749999999997
539,2016-01-25,479.095
540,2016-01-22,475.62750000000005
541,2016-01-21,474.56500000000005
542,2016-01-20,471.84749999999997
543,2016-01-19,474.78499999999997
544,2016-01-17,473.38
545,2016-01-15,470.53499999999997
546,2016-01-14,473.15999999999997
547,2016-01-13,479.62750000000005
548,2016-01-12,474.59749999999997
549,2016-01-11,474.47249999999997
550,2016-01-08,473.4425
551,2016-01-07,464.28499999999997
552,2016-01-06,461.69000000000005
553,2016-01-05,461.255
554,2016-01-04,464.87750000000005
555,2015-12-31,470.09749999999997
556,2015-12-30,473.63
557,2015-12-29,471.8175
558,2015-12-28,468.09749999999997
559,2015-12-27,468.0
560,2015-12-24,468.90999999999997
561,2015-12-23,471.38
562,2015-12-22,476.34749999999997
563,2015-12-21,483.53499999999997
564,2015-12-18,488.13
565,2015-12-17,481.97249999999997
566,2015-12-16,489.15999999999997
567,2015-12-15,492.88
568,2015-12-14,492.5675
569,2015-12-11,492.65999999999997
570,2015-12-10,491.9425
571,2015-12-09,485.97249999999997
572,2015-12-08,480.78499999999997
573,2015-12-07,486.8175
574,2015-12-04,481.78499999999997
575,2015-12-03,473.8175
576,2015-12-02,469.34749999999997
577,2015-12-01,474.255
578,2015-11-30,476.9425
579,2015-11-27,483.09749999999997
580,2015-11-25,488.9425
581,2015-11-24,492.47249999999997
582,2015-11-23,492.53499999999997
583,2015-11-20,489.9425
584,2015-11-19,486.94000000000005
585,2015-11-18,485.40999999999997
586,2015-11-17,489.97
587,2015-11-16,494.31500000000005
588,2015-11-13,496.00250000000005
589,2015-11-12,496.62750000000005
590,2015-11-11,493.84749999999997
591,2015-11-10,496.40999999999997
592,2015-11-09,511.1600000000001
593,2015-11-06,522.8775
594,2015-11-05,524.94
595,2015-11-04,520.4100000000001
596,2015-11-03,511.65999999999997
597,2015-11-02,514.7225000000001
598,2015-10-30,519.065
599,2015-10-29,510.87750000000005
600,2015-10-28,505.59749999999997
601,2015-10-27,510.9100000000001
602,2015-10-26,502.15999999999997
603,2015-10-23,490.06500000000005
604,2015-10-22,494.19000000000005
605,2015-10-21,493.59749999999997
606,2015-10-20,488.0675
607,2015-10-19,488.65999999999997
608,2015-10-16,497.6925
609,2015-10-15,506.06500000000005
610,2015-10-14,513.5350000000001
611,2015-10-13,513.19
612,2015-10-12,507.0675
613,2015-10-09,510.81500000000005
614,2015-10-08,514.6275
615,2015-10-07,522.1600000000001
616,2015-10-06,520.0675
617,2015-10-05,513.7850000000001
618,2015-10-02,516.2525
619,2015-10-01,516.5025
620,2015-09-30,507.3775
621,2015-09-29,505.03499999999997
622,2015-09-28,507.62750000000005
623,2015-09-25,503.22249999999997
624,2015-09-24,502.25250000000005
625,2015-09-23,501.06500000000005
626,2015-09-22,494.15999999999997
627,2015-09-21,490.69000000000005
628,2015-09-18,484.34749999999997
629,2015-09-17,484.94000000000005
630,2015-09-16,490.28499999999997
631,2015-09-15,497.78499999999997
632,2015-09-14,493.8175
633,2015-09-11,479.28499999999997
634,2015-09-10,475.345
635,2015-09-09,474.44000000000005
636,2015-09-08,472.505
637,2015-09-04,466.4425
638,2015-09-03,472.09749999999997
639,2015-09-02,482.97249999999997
640,2015-09-01,485.84749999999997
641,2015-08-31,483.005
642,2015-08-28,481.59749999999997
643,2015-08-27,488.1275
644,2015-08-26,494.40999999999997
645,2015-08-25,501.1275
646,2015-08-24,498.565
647,2015-08-21,501.69000000000005
648,2015-08-20,500.75250000000005
649,2015-08-19,495.15999999999997
650,2015-08-18,498.065
651,2015-08-17,502.87750000000005
652,2015-08-14,504.72249999999997
653,2015-08-13,498.22249999999997
654,2015-08-12,499.97249999999997
655,2015-08-11,514.63
656,2015-08-10,518.6925
657,2015-08-07,509.13
658,2015-08-06,505.4425
659,2015-08-05,498.4425
660,2015-08-04,497.94
661,2015-08-03,497.38
662,2015-07-31,498.63
663,2015-07-30,498.005
664,2015-07-29,504.00250000000005
665,2015-07-28,507.3175
666,2015-07-27,506.4425
667,2015-07-24,516.4725000000001
668,2015-07-23,520.5975
669,2015-07-22,521.0350000000001
670,2015-07-21,529.7225000000001
671,2015-07-20,541.845
672,2015-07-17,555.625
673,2015-07-16,566.2850000000001
674,2015-07-15,566.0675
675,2015-07-14,574.44
676,2015-07-13,573.345
677,2015-07-10,577.285
678,2015-07-09,578.8175
679,2015-07-08,580.69
680,2015-07-07,587.1925
681,2015-07-06,588.0975000000001
682,2015-07-03,588.25
683,2015-07-02,587.6275
684,2015-07-01,598.1575
685,2015-06-30,598.2850000000001
686,2015-06-29,576.2850000000001
687,2015-06-26,547.315
688,2015-06-25,523.9725000000001
689,2015-06-24,520.9725000000001
690,2015-06-23,512.255
691,2015-06-22,495.28499999999997
692,2015-06-19,488.12750000000005
693,2015-06-18,491.13
694,2015-06-17,492.755
695,2015-06-16,489.9425
696,2015-06-15,495.37750000000005
697,2015-06-12,504.9075
698,2015-06-11,509.25250000000005
699,2015-06-10,523.7850000000001
700,2015-06-09,530.315
701,2015-06-08,523.255
702,2015-06-05,522.6575
703,2015-06-04,515.3475000000001
704,2015-06-03,514.1925
705,2015-06-02,503.505
706,2015-06-01,485.565
707,2015-05-29,482.1925
708,2015-05-28,488.40999999999997
709,2015-05-27,490.65999999999997
710,2015-05-26,504.9725000000001
711,2015-05-22,519.0975
712,2015-05-21,518.41
713,2015-05-20,510.50250000000005
714,2015-05-19,514.8175
715,2015-05-18,517.63
716,2015-05-15,512.8775
717,2015-05-14,497.97249999999997
718,2015-05-13,479.9425
719,2015-05-12,482.65999999999997
720,2015-05-11,481.255
721,2015-05-08,477.22249999999997
722,2015-05-07,477.0675
723,2015-05-06,474.315
724,2015-05-05,467.84749999999997
725,2015-05-04,471.345
726,2015-05-01,474.4425
727,2015-04-30,479.90999999999997
728,2015-04-29,479.59749999999997
729,2015-04-28,473.505
730,2015-04-27,481.3175
731,2015-04-24,492.12750000000005
732,2015-04-23,499.72249999999997
733,2015-04-22,500.13
734,2015-04-21,499.90999999999997
735,2015-04-20,495.9425
736,2015-04-17,494.44000000000005
737,2015-04-16,492.38
738,2015-04-15,495.5675
739,2015-04-14,500.97249999999997
740,2015-04-13,510.505
741,2015-04-10,521.91
742,2015-04-09,521.1600000000001
743,2015-04-08,525.7525
744,2015-04-07,526.13
745,2015-04-06,533.6925
746,2015-04-02,532.0975000000001
747,2015-04-01,519.3175
748,2015-03-31,521.2225000000001
749,2015-03-30,520.4425
750,2015-03-27,503.72249999999997
751,2015-03-26,510.40999999999997
752,2015-03-25,521.505
753,2015-03-24,526.9725000000001
754,2015-03-23,535.1600000000001
755,2015-03-20,520.1925
756,2015-03-19,513.1600000000001
757,2015-03-18,506.65999999999997
758,2015-03-17,510.1600000000001
759,2015-03-16,507.03499999999997
760,2015-03-13,505.28499999999997
761,2015-03-12,504.065
762,2015-03-11,497.1925
763,2015-03-10,490.90999999999997
764,2015-03-09,488.34749999999997
765,2015-03-06,481.97249999999997
766,2015-03-05,488.38
767,2015-03-04,500.40999999999997
768,2015-03-03,501.47249999999997
769,2015-03-02,507.9725000000001
770,2015-02-27,507.065
771,2015-02-26,496.94
772,2015-02-25,500.22249999999997
773,2015-02-24,505.1925
774,2015-02-23,505.9425
775,2015-02-20,519.5675
776,2015-02-19,529.1925
777,2015-02-18,533.2850000000001
778,2015-02-17,537.065
779,2015-02-13,527.0025
780,2015-02-12,522.4725000000001
781,2015-02-11,522.5350000000001
782,2015-02-10,524.565
783,2015-02-09,527.5350000000001
784,2015-02-06,526.005
785,2015-02-05,518.38
786,2015-02-04,513.9425
787,2015-02-03,504.0675
788,2015-02-02,498.22249999999997
789,2015-01-30,504.97249999999997
790,2015-01-29,506.6275
791,2015-01-28,512.0350000000001
792,2015-01-27,520.1600000000001
793,2015-01-26,525.7525
794,2015-01-23,531.2225
795,2015-01-22,536.2525
796,2015-01-21,538.3175
797,2015-01-20,532.5975000000001
798,2015-01-16,535.2225000000001
799,2015-01-15,536.755
800,2015-01-14,543.0975000000001
801,2015-01-13,554.4725
802,2015-01-12,560.1275
803,2015-01-09,566.5975000000001
804,2015-01-08,573.595
805,2015-01-07,586.6925
806,2015-01-06,592.44
807,2015-01-05,586.3175
808,2015-01-02,583.6925
809,2014-12-31,595.5975
810,2014-12-30,608.6275
811,2014-12-29,613.9100000000001
812,2014-12-28,609.25
813,2014-12-26,611.97
814,2014-12-24,623.2225000000001
815,2014-12-23,629.4725000000001
816,2014-12-22,630.065
817,2014-12-21,632.88
818,2014-12-19,642.565
819,2014-12-18,655.6925
820,2014-12-17,634.9100000000001
821,2014-12-16,622.91
822,2014-12-15,611.69
823,2014-12-14,605.75
824,2014-12-12,602.285
825,2014-12-11,587.755
826,2014-12-10,581.8775
827,2014-12-09,590.44
828,2014-12-08,595.8175
829,2014-12-07,593.38
830,2014-12-05,590.005
831,2014-12-04,587.005
832,2014-12-03,596.3175
833,2014-12-02,604.2850000000001
834,2014-12-01,590.505
835,2014-11-30,578.38
836,2014-11-28,569.1600000000001
837,2014-11-27,562.25
838,2014-11-26,560.315
839,2014-11-25,553.255
840,2014-11-24,552.005
841,2014-11-21,546.88
842,2014-11-20,541.0350000000001
843,2014-11-19,542.94
844,2014-11-18,549.7225000000001
845,2014-11-17,556.4725
846,2014-11-14,556.8175
847,2014-11-13,547.8475000000001
848,2014-11-12,533.6600000000001
849,2014-11-11,519.94
850,2014-11-10,517.0975000000001
851,2014-11-07,515.565
852,2014-11-06,523.3175
853,2014-11-05,526.8475
854,2014-11-04,534.4425
855,2014-11-03,535.1925
856,2014-10-31,532.0975
857,2014-10-30,538.1275
858,2014-10-29,534.41
859,2014-10-28,527.97
860,2014-10-27,519.0975
861,2014-10-24,525.1275
862,2014-10-23,524.2525
863,2014-10-22,521.9100000000001
864,2014-10-21,517.44
865,2014-10-20,513.005
866,2014-10-17,517.1925
867,2014-10-16,511.31500000000005
868,2014-10-15,508.81500000000005
869,2014-10-14,505.56500000000005
870,2014-10-13,501.3175
871,2014-10-10,497.315
872,2014-10-09,500.4425
873,2014-10-08,507.1925
874,2014-10-07,499.13
875,2014-10-06,489.15999999999997
